product_id,product_size,product_title,product_upc,productlink_id,productlink_buyprice,productlink_presale,productlink_price
3613,32 oz,Store Brand Organic Aseptic Soy Milk Vanilla Rice ,,9732,2.33,7.49,2.75
3559,12 ct,Store Brand Organic Extra Large Brown Eggs ,,9678,3.36,7.49,4.1
3614,128 oz,Store Brand Organic Fat Free Milk ,,9733,5.69,7.49,6.71
3615,128 oz,Store Brand Organic Whole Milk ,,9734,5.69,7.49,6.71
3235,4 ea,Store Brand Organics Butter; Salted ,,9354,4.99,7.49,6.04
3236,4 ea,Store Brand Organics Butter; Unsalted ,,9355,4.99,7.49,6.04
2661,14 oz,Store Brand Organics Cereal; Honey & Nut ,,8787,3.29,7.49,4.11
2662,13 oz,Store Brand Organics Fruit Rings Cereal ,,8788,3.29,7.49,4.11
400,10 ea,Store Brand Organics Hot Cocoa Regular ,,6474,2.99,7.49,3.68
3616,0.5 gal,Store Brand Organics Milk; Fat Free ,,9735,3.49,7.49,4.12
3617,0.5 gal,Store Brand Organics Milk; Lowfat; 1% Milkfat ,,9736,3.49,7.49,4.12
3618,0.5 gal,Store Brand Organics Milk; Reduced Fat; 2% Milkfat ,,9737,3.49,7.49,4.12
3619,0.5 gal,Store Brand Organics Milk; Vitamin D ,,9738,3.49,7.49,4.12
3620,32 oz,Store Brand Organics Original Rice Milk ,,9739,2.33,7.49,2.75
3669,16 oz,Store Brand Organics Sour Cream; Lowfat ,,9788,2.69,7.49,3.36
3670,16 oz,Store Brand Organics Sour Cream; Original ,,9789,2.69,7.49,3.36
3621,32 oz,Store Brand Organics Soymilk Chocolate ,,9740,2.33,7.49,2.75
3622,0.5 gl,Store Brand Organics Soymilk; Chocolate ,,9741,2.79,7.49,3.29
3623,0.5 gl,Store Brand Organics Soymilk; Original ,,9742,2.79,7.49,3.29
3624,32 oz,Store Brand Organics Soymilk; Original ,,9743,2.33,7.49,2.75
3625,32 oz,Store Brand Organics Soymilk; Vanilla ,,9744,2.33,7.49,2.75
3626,0.5 gl,Store Brand Organics Soymilk. Vanilla ,,9745,2.79,7.49,3.29
5714,200 ea,Store Brand Pain Relief + Pain Relief PM; Extra Strength; Caplets; Value Pack ,,11799,5.96,7.49,7.45
5715,50 ct,Store Brand Pain Relief PM Extra Strength Geltabs ,,11800,4.99,7.49,6.24
5716,100 ea,Store Brand Pain Relief PM; Extra Strength; Caplets ,,11801,6.77,7.49,8.46
5717,200 ea,Store Brand Pain Relief PM; Extra Strength; Caplets; Value Pack ,,11802,7.44,7.49,9.3
5718,100 ea,Store Brand Pain Relief; 500 mg; Cool Ice Caps; Caplets ,,11803,3.97,7.49,4.96
5719,100 ea,Store Brand Pain Relief; 500 mg; Easy Tabs; Tablets ,,11804,4.96,7.49,6.2
5720,50 ea,Store Brand Pain Relief; 500 mg; Easy Tabs; Tablets ,,11805,2.99,7.49,3.74
5721,80 ea,Store Brand Pain Relief; 500 mg; Extra Strength Softgels ,,11806,5.97,7.49,7.46
5722,50 ea,Store Brand Pain Relief; 500 mg; Extra Strength; Caplets ,,11807,2.99,7.49,3.74
5624,4 oz,Store Brand Pain Relief; Bubble Gum Flavor; Suspension Liquid ,,11709,4.44,7.49,5.33
5625,1 oz,Store Brand Pain Relief; Cherry Flavor ,,11710,5.24,7.49,6.29
5626,4 oz,Store Brand Pain Relief; Children's; Cherry Flavor ,,11711,4.44,7.49,5.33
5723,100 ea,Store Brand Pain Relief; Extra Strength; 500 mg; Caplets ,,11808,3.97,7.49,4.96
